Cuisine,Dish Name,Ingredients,Procedure
Malaysian,Malaysian Specialty,"Malaysian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Malaysian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Vietnamese,Banh Mi,"baguette, pork, pickled vegetables, cilantro, chili, mayonnaise, soy sauce, garlic, salt","Marinate and roast pork, then slice thinly. Fill a crisp baguette with pork, pickled vegetables, cilantro, and chili, and drizzle with a seasoned mayo."
Kenyan,Kenyan Specialty,"Kenyan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kenyan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Algerian,Algerian Specialty,"Algerian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Algerian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Syrian,Syrian Specialty,"Syrian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Syrian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Libyan,Libyan Specialty,"Libyan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Libyan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Armenian,Armenian Specialty,"Armenian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Armenian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Hungarian,Goulash,"beef, onions, paprika, tomatoes, potatoes, garlic, caraway seeds, salt, pepper, oil","Brown beef with onions and garlic, add paprika and tomatoes, then simmer with potatoes until tender."
Cuban,Ropa Vieja,"shredded beef, bell peppers, tomatoes, onions, garlic, cumin, oregano, olive oil, salt, pepper","Slow-cook beef until tender and shred it. Sauté vegetables with spices, add beef back, and simmer until the flavors meld."
Mediterranean,Hummus,"chickpeas, tahini, garlic, lemon juice, olive oil, salt, paprika","Blend chickpeas, tahini, garlic, and lemon juice until smooth. Drizzle with olive oil and sprinkle with paprika."
Cambodian,Cambodian Specialty,"Cambodian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Cambodian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mediterranean,Hummus,"chickpeas, tahini, garlic, lemon juice, olive oil, salt, paprika","Blend chickpeas, tahini, garlic, and lemon juice until smooth. Drizzle with olive oil and sprinkle with paprika."
Afghan,Kabuli Pulao,"basmati rice, lamb, carrots, raisins, almonds, onions, spices, salt, oil","Cook lamb with onions and spices. Layer parboiled rice with lamb, carrots, raisins, and almonds, then steam until flavors meld."
Peruvian,Ceviche,"fish, lime juice, red onions, cilantro, chili, salt, sweet potato, corn","Marinate diced fish in lime juice until opaque. Mix with thinly sliced onions, cilantro, and chili, then serve with sweet potato and corn."
Thai,Green Curry,"chicken, green curry paste, coconut milk, bamboo shoots, Thai basil, bell peppers, fish sauce, sugar, oil","Sauté green curry paste in oil, add chicken and cook until sealed. Pour in coconut milk with bamboo shoots and peppers, simmer, then season with fish sauce and sugar. Garnish with basil."
Middle Eastern,Falafel,"chickpeas, onions, garlic, parsley, cumin, coriander, salt, pepper, oil, tahini","Blend soaked chickpeas with onions, garlic, and herbs. Form into balls and deep-fry until golden; serve with tahini sauce."
Dutch,Dutch Specialty,"Dutch spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Dutch spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Saudi Arabian,Kabsa,"chicken, rice, tomatoes, onions, garlic, spices, raisins, almonds, salt, pepper, oil","Cook chicken with spices and tomatoes, layer rice over the chicken with raisins and almonds, then simmer until the rice is cooked."
Armenian,Armenian Specialty,"Armenian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Armenian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Austrian,Wiener Schnitzel,"veal, flour, eggs, breadcrumbs, lemon, salt, pepper, oil","Pound veal thin, dredge in flour, dip in beaten egg, then coat with breadcrumbs. Fry until golden and serve with lemon wedges."
Swedish,Swedish Meatballs,"ground beef, ground pork, breadcrumbs, egg, onions, cream, allspice, salt, pepper, butter","Mix meats with breadcrumbs, egg, and spices. Form small meatballs, fry until browned, and serve with a creamy sauce."
Swiss,Fondue,"Gruyère cheese, Emmental cheese, white wine, garlic, cornstarch, kirsch, bread, salt, pepper","Melt cheeses with white wine and garlic, then stir in cornstarch mixed with kirsch. Serve with cubes of bread for dipping."
Malaysian,Nasi Lemak,"rice, coconut milk, pandan leaves, anchovies, peanuts, boiled egg, sambal, cucumber, salt","Cook rice in coconut milk with pandan leaves. Fry anchovies and peanuts. Serve rice with boiled egg, sambal, and cucumber slices."
Middle Eastern,Falafel,"chickpeas, onions, garlic, parsley, cumin, coriander, salt, pepper, oil, tahini","Blend soaked chickpeas with onions, garlic, and herbs. Form into balls and deep-fry until golden; serve with tahini sauce."
Swedish,Swedish Specialty,"Swedish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Swedish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Afghan,Kabuli Pulao,"basmati rice, lamb, carrots, raisins, almonds, onions, spices, salt, oil","Cook lamb with onions and spices. Layer parboiled rice with lamb, carrots, raisins, and almonds, then steam until flavors meld."
Kyrgyz,Kyrgyz Specialty,"Kyrgyz spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kyrgyz spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Spanish,Paella,"rice, saffron, chicken, seafood, chorizo, bell peppers, peas, tomatoes, onions, garlic, chicken broth, olive oil, salt","Brown chicken and chorizo, then sauté onions, garlic, and peppers. Add rice with saffron-infused broth, arrange seafood and peas on top, and simmer until the rice is done."
Tanzanian,Tanzanian Specialty,"Tanzanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tanzanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Argentinian,Argentinian Specialty,"Argentinian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Argentinian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Brazilian,Feijoada,"black beans, pork, beef, sausage, onions, garlic, bay leaves, orange, salt, pepper","Soak black beans overnight. Cook with assorted meats, onions, garlic, and spices until thick and flavorful. Garnish with orange slices."
Azerbaijani,Azerbaijani Specialty,"Azerbaijani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Azerbaijani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Georgian,Georgian Specialty,"Georgian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Georgian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Puerto Rican,Puerto Rican Specialty,"Puerto Rican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Puerto Rican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Polish,Pierogi,"flour, potatoes, cheese, onions, butter, salt, pepper","Prepare dough and roll out. Fill with mashed potatoes mixed with cheese and sautéed onions, then boil and lightly fry in butter."
Belgian,Moules-Frites,"mussels, potatoes, white wine, garlic, shallots, parsley, butter, salt, pepper",Steam mussels in white wine with garlic and shallots. Serve with crispy fries tossed in parsley and butter.
Scottish,Scottish Specialty,"Scottish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Scottish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mongolian,Mongolian Specialty,"Mongolian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mongolian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Spanish,Paella,"rice, saffron, chicken, seafood, chorizo, bell peppers, peas, tomatoes, onions, garlic, chicken broth, olive oil, salt","Brown chicken and chorizo, then sauté onions, garlic, and peppers. Add rice with saffron-infused broth, arrange seafood and peas on top, and simmer until the rice is done."
Scandinavian,Gravlax,"salmon, salt, sugar, dill, white pepper","Cure salmon with a mixture of salt, sugar, dill, and white pepper for several days. Slice thinly and serve with mustard sauce."
Lebanese,Tabbouleh,"bulgur wheat, parsley, mint, tomatoes, cucumbers, lemon juice, olive oil, salt, pepper","Soak bulgur wheat until soft, then mix with finely chopped parsley, mint, tomatoes, and cucumbers. Season with lemon juice, olive oil, salt, and pepper."
Mediterranean,Hummus,"chickpeas, tahini, garlic, lemon juice, olive oil, salt, paprika","Blend chickpeas, tahini, garlic, and lemon juice until smooth. Drizzle with olive oil and sprinkle with paprika."
Austrian,Wiener Schnitzel,"veal, flour, eggs, breadcrumbs, lemon, salt, pepper, oil","Pound veal thin, dredge in flour, dip in beaten egg, then coat with breadcrumbs. Fry until golden and serve with lemon wedges."
Ethiopian,Doro Wat,"chicken, onions, garlic, ginger, berbere spice, tomato paste, hard-boiled eggs, oil, salt, pepper","Slow-cook onions until caramelized, add garlic, ginger, and berbere spice. Stir in chicken and tomato paste, then simmer and add boiled eggs."
Romanian,Romanian Specialty,"Romanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Romanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Tanzanian,Tanzanian Specialty,"Tanzanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tanzanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Algerian,Algerian Specialty,"Algerian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Algerian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Afghan,Afghan Specialty,"Afghan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Afghan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
